Nazwa,Dzielnica,Adres,Kod,Sporty,Telefon,E-mail,WWW,Operator,Status,System rezerwacji,Przypisany,Osoba kontaktowa,Ostatni kontakt,Followup,Notatki,AI,Ostatnia zmiana
Boisko — piłka nożna · trawa naturalna,,Poznań,,piłka nożna,721 785 903,,http://www.kkssportywalki.pl/,,Nowy,E-mail,,,,,,Rezerwacje odbywają się poprzez kontakt e-mail (klub@kkssportywalki.pl) - należy napisać do klubu i umówić się na zajęcia.,
Boisko — piłka nożna · trawa naturalna,,Poznań,,piłka nożna,61 892 65 35,,http://gos.suchylas.pl/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna · trawa naturalna,,Poznań,,piłka nożna,61 646 01 62,,https://akwenczerwonak.pl/boiska-sportowe/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna · trawa naturalna,,Poznań,,piłka nożna,61 650 95 20,,http://www.sksunia.pl/,,Nowy,Telefon,,,,,,"Rezerwacje możliwe telefonicznie pod numerem 799 070 039 lub mailowo na adres klub@sksunia.pl, brak widocznego systemu online.",
Boisko — piłka nożna · trawa naturalna,,Poznań,,piłka nożna,61 833 05 11,,http://www.chwialka.poznan.pl/,,Nowy,E-mail,,,,,,"Rezerwacje boiska przyjmowane drogą e-mail - strona zawiera odnośnik ""e-mail/rezerwacja torów basenowych"" oraz ogólne adresy e-mail POSiR-u dla rezerwacji.",
Boisko — piłka nożna · trawa naturalna,,Poznań,,piłka nożna,61 285 23 74,,https://www.orlik2012.pl/index.php/znajdz-orlika/sroda-wielkopolska-ul-lipowa-9,,Nowy,Nieznany,,,,,,Strona domeny orlik2012.pl jest niedostępna - wyświetla tylko stronę rejestratora Aftermarket.pl. Nie można określić sposobu rezerwacji obiektu sportowego.,
Boisko — piłka nożna · trawa naturalna,,Poznań,,piłka nożna,61 646 01 62,,https://akwenczerwonak.pl/boiska-sportowe/,,Nowy,Nieznany,,,,,,,
Boisko — piłka ręczna,,Poznań,,piłka ręczna,61 814 82 62,,https://gosir.dopiewo.pl/,,Nowy,Nieznany,,,,,,,
Boisko — piłka ręczna · tartan / asfalt,,Poznań,,piłka ręczna,61 872 73 03,,http://www.kleszczewo.pl/page.php?o=592,,Nowy,Nieznany,,,,,,,
Boisko — siatkówka,Golęcin,ul. Wincentego Witosa,60-627,siatkówka,61 846 62 50,,https://sparrow.up.poznan.pl/ckf/,,Nowy,Zewnętrzny,,,,,,Rezerwacje boisk do siatkówki plażowej online za pośrednictwem systemu Bo5.pl z możliwością zapłaty online.,
Boisko — siatkówka,,Poznań,,siatkówka,61 846 62 50,,https://sparrow.up.poznan.pl/ckf/,,Nowy,Zewnętrzny,,,,,,Rezerwacja boisk do siatkówki plażowej online za pośrednictwem systemu Bo5.pl z możliwością opłaty online.,
Boisko — siatkówka,,Poznań,,siatkówka,33 385 23 56,,http://www.akwenczerwonak.pl/,,Nowy,Nieznany,,,,,,,
Boisko — siatkówka · sztuczna trawa,,Poznań,,siatkówka,,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie na numer 61 835 79 00 (centrala) lub 61 835 79 01 (sekretariat); brak informacji o systemie online.,
Boisko do piłki nożnej,,"Krajenecka, 60-101 Poznań, Polska",,piłka nożna,,,https://boisko.osiedlestrzeszyn.pl/,Rada Osiedla Strzeszyn,Nowy,Własny system,,,,,,"Boisko do piłki nożnej na ul. Krajeneckiej w Poznaniu zarządz

ane przez Radę Osiedla Strzeszyn. Rezerwacje można dokonywać za pośrednictwem dedykowanego systemu online dostępnego na stronie boisko.osiedlestrzeszyn.pl. Obiekty są dostępne dla publiczności poprzez system rezerwacji własny operator.",
Boisko Grunwald,,"ul. Grunwaldzka 22, 60-782 Poznań",,koszykówka / piłka nożna,,,"https://playarena.pl/4809,obiekty_i_boiska,sportowe,poznan,stanislawa.html",,Nowy,Brak / z marszu,,,,,,"Boisko Orlik Arena na Playarena.pl to platforma do organizowania amatorskich rozgrywek piłkarskich za darmo - użytkownicy mogą się rejestrować i dołączać do meczów, ale nie ma dedykowanego systemu rezerwacji boiska.",
Boisko Orlik Jeżyce,Sołacz,"ul. Kościelna 74, 60-538 Poznań",60-605,piłka nożna / koszykówka,"517 498 017, 61 662 18 37, 61 867 33 40",,https://sp74.pl,Szkoła Podstawowa nr 74 w Poznaniu,Nowy,Telefon,,,,,,"Boisko Orlik Jeżyce na terenie Szkoły Podstawowej nr 74 w Poznaniu to kompleks sportowy oferujący boiska do piłki nożnej, koszykówki i siatkówki. Zarządza nim szkoła podstawowa. Rezerwacje odbywają się telefonicznie pod numerami szkoły: 517 498 017, 61 662 18 37 lub 61 867 33 40. Sekretariat czynny w poniedziałek 8:00-15:00, wtorek 8:00-9:30, środę 8:00-15:00, czwartek 8:00-15:00, piątek 8:00-9:30.",
Boisko Park Sołacki,,"ul. Niegolewskich, 60-365 Poznań",,piłka nożna / siatkówka,61 846 62 50,,https://sparrow.up.poznan.pl/ckf/,,Nowy,Zewnętrzny,,,,,,Rezerwacje boisk do siatkówki plażowej dokonywane online poprzez platformę Bo5.pl wraz z opłatą.,
Boisko Przepadek,Stare Miasto,"Aleja Armii Poznań, 15, Poznań",61-711,wielofunkcyjne,61 853 03 60,,http://www.poznanazs.pl/,,Nowy,Nieznany,,,,,,Strona główna AZS Poznań nie zawiera informacji o systemie rezerwacji dla boiska do piłki nożnej - brak szczegółów dotyczących procesu rezerwacji.,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 816 60 86,,http://www.osir.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Stare Miasto,ul. Kazimierza Pułaskiego,61-705,wielofunkcyjne,61 853 03 60,,http://www.poznanazs.pl/,,Nowy,Nieznany,,,,,,"Strona główna AZS Poznań nie zawiera informacji o systemie rezerwacji obiektu Boisko Przepadek. Dostępne są jedynie informacje o organizacji, aktualności sportowe i zdarzenia.",
Boisko sportowe,Ostrów Tumski-Śródka-Zawady-Komandoria,ul. Andrzeja Łaskarza,61-118,wielofunkcyjne,669 434 540,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Ostrów Tumski-Śródka-Zawady-Komandoria,ul. Andrzeja Łaskarza,61-118,wielofunkcyjne,669 434 540,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Rataje,ul. Rataje,61-168,wielofunkcyjne,506 042 344,,https://www.posir.poznan.pl/obiekty/rataje/korty-tenisowe,,Nowy,Zewnętrzny,,,,,,"Rezerwacje można dokonywać mailowo, telefonicznie, przez aplikację Playmore lub na stronie https://playmore.pl/reservation/87/courts; stałe rezerwacje na sezon letni przyjmowane są mailowo.",
Boisko sportowe,,ul. Szkolna,61-050,wielofunkcyjne,,,http://www.osirmosina.pl/,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie pod numerem +48 61 813 29 03 lub +48 61 101 95 66; brak online systemu rezerwacji na stronie.,
Boisko sportowe,,ul. Ignacego Krasickiego,62-050,wielofunkcyjne,61 101 95 66,,http://osirmosina.pl/,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie pod numerem +48 61 101 95 66 lub +48 61 813 29 03; brak widocznego systemu online ani zewnętrznej platformy rezerwacyjnej.,
Boisko sportowe,,ul. Kościelna,62-081,wielofunkcyjne,61 816 22 15,,http://www.osir.pl/obiekty/przezmierowo,,Nowy,Telefon,,,,,,"Rezerwacje przyjmowane telefonicznie u kierownika obiektu (698 097 941) lub poprzez portalnię (601 953 008), oraz mailowo na adres t.kosicki@osir.pl",
Boisko sportowe,Ostrów Tumski-Śródka-Zawady-Komandoria,ul. Andrzeja Łaskarza,61-118,wielofunkcyjne,669 434 540,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Grunwald,ul. Marcina Kasprzaka,60-216,wielofunkcyjne,602 114 082,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Osiedle Przyjaźni,ul. Szarych Szeregów,64-320,wielofunkcyjne,61 814 91 40,,http://www.osir-buk.pl/,,Nowy,Nieznany,,,,,,"Strona zawiera informacje o obiektach sportowych OSiR Buk oraz harmonogram wynajmu i cennik, ale nie zawiera konkretnych informacji o systemie rezerwacji lub linku do formularza rezerwacji.",
Boisko sportowe,,ul. Młynkowska,64-550,wielofunkcyjne,453 674 294,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,Śródka,ul. Księdza Bolesława Sulka,61-127,wielofunkcyjne,61 877 23 29,,https://posir.poznan.pl/obiekty/mos/,,Nowy,Telefon,,,,,,"Rezerwacje wyłącznie telefoniczne: tel./fax 61 877 23 29 lub kontakt mailowy, bez systemu online ani zewnętrznej platformy rezerwacyjnej.",
Boisko sportowe,Golęcin,ul. Niestachowska,60-545,wielofunkcyjne,61 840 68 72,,https://posir.poznan.pl/obiekty/golecin/boiska-pilkarskie,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie pod numerem 61 840 68 72 (Oddział Golęcin) lub poprzez e-mail; dostępne są kalendarze dostępności do pobrania dla poszczególnych boisk.,
Boisko sportowe,Golęcin,ul. Warmińska,60-622,wielofunkcyjne,61 840 68 72,,https://posir.poznan.pl/obiekty/golecin/boiska-pilkarskie,,Nowy,Zewnętrzny,,,,,,"Rezerwacje boisk piłkarskich w Golęcinie odbywa się poprzez kontakt z Oddziałem Golęcin (telefon: 61 840 68 72, e-mail) lub poprzez system dostępności dostępny na stronie.",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 840 68 72,,https://posir.poznan.pl/obiekty/golecin/boiska-pilkarskie,,Nowy,Zewnętrzny,,,,,,Rezerwacja boisk piłkarskich w Golęcinie odbywa się poprzez zewnętrzną platformę - link do systemu rezerwacji znajduje się na stronie obiektu.,
Boisko sportowe,,Poznań,,wielofunkcyjne,880 562 845,,http://www.centrumplek.pl/,,Nowy,Zewnętrzny,,,,,,"Rezerwacje boisk i kortów odbywają się wyłącznie poprzez aplikację Playtomic, gdzie można sprawdzić dostępność, wybrać termin i godzinę gry.",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 840 68 72,,http://golecin.poznan.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,880 562 845,,http://www.centrumplek.pl/,,Nowy,Zewnętrzny,,,,,,"Rezerwacje odbywają się przez aplikację Playtomic, gdzie można sprawdzić dostępność, wybrać termin i godzinę gry na kortach padel i boisku do piłki nożnej.",
Boisko sportowe,,Poznań,,wielofunkcyjne,506 699 267,,http://www.arenadebiec.pl/,,Nowy,Nieznany,,,,,,"Strona zawiera informacje o możliwości rezerwacji boiska, ale nie dostarcza bezpośredniego linku do systemu rezerwacji. Kontakt możliwy przez telefon (+48 506 699 267, +48 508 670 310) lub e-mail (kontakt@arenadebiec.pl).",
Boisko sportowe,,Poznań,,wielofunkcyjne,506 699 267,,http://www.arenadebiec.pl/,,Nowy,Nieznany,,,,,,"Strona zawiera informacje o możliwości rezerwacji boiska, ale nie dostarcza bezpośredniego linku do systemu rezerwacji. Kontakt możliwy przez telefon (+48 506 699 267, +48 508 670 310) lub e-mail (kontakt@arenadebiec.pl).",
Boisko sportowe,,Poznań,,wielofunkcyjne,506 699 267,,http://www.arenadebiec.pl/,,Nowy,Nieznany,,,,,,"Strona zawiera informacje o możliwości rezerwacji boiska, ale nie dostarcza bezpośredniego linku do systemu rezerwacji. Kontakt możliwy przez telefon (+48 506 699 267, +48 508 670 310) lub e-mail (kontakt@arenadebiec.pl).",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 650 95 20,,http://www.sksunia.pl/,,Nowy,E-mail,,,,,,"Rezerwacje prowadzone poprzez kontakt e-mail (klub@sksunia.pl) lub telefon (799 070 039), brak dedykowanego systemu online.",
Boisko sportowe,,"Kościelna, 46/48, Przeźmierowo",62-081,wielofunkcyjne,61 816 22 15,,http://www.osir.pl/obiekty/przezmierowo,,Nowy,E-mail,,,,,,"Rezerwacje odbywają się telefonicznie lub mailowo — wszystkie obiekty (hala, boisko, sale, korty, siłownia) wymagają kontaktu z kierownikiem Tomaszem Kosickim na numer kom. 698 097 941 lub e-mail t.kosicki@osir.pl.",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 846 62 50,,https://sparrow.up.poznan.pl/ckf/,,Nowy,Zewnętrzny,,,,,,Rezerwacje boisk do siatkówki plażowej odbywają się online za pośrednictwem platformy Bo5.pl wraz z możliwością opłaty online.,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 846 62 50,,https://sparrow.up.poznan.pl/ckf/,,Nowy,Zewnętrzny,,,,,,Rezerwacje boisk do siatkówki plażowej odbywają się za pośrednictwem platformy Bo5.pl z możliwością opłaty online.,
Boisko sportowe,,Poznań,,wielofunkcyjne,509 581 555,,https://puszczykowo.pl/sport/hala-widowiskowo-sportowa,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie u kierownika hali Przemysława Hejnowicza pod numerem 509 581 555.,
Boisko sportowe,,Poznań,,wielofunkcyjne,669 991 624,,http://www.ocs.oborniki.pl/,,Nowy,Nieznany,,,,,,"Strona zawiera sekcję ""Rezerwacje Bowling - Squash"" oraz formularz kontaktowy, ale nie podaje szczegółowych informacji o systemie rezerwacji ani linku do platformy rezerwacyjnej.",
Boisko sportowe,,Poznań,,wielofunkcyjne,602 114 082,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,669 991 624,,http://www.ocs.oborniki.pl/,,Nowy,Nieznany,,,,,,"Strona zawiera sekcję ""Rezerwacje Bowling - Squash"" oraz formularz kontaktowy, ale nie podaje szczegółowych informacji o systemie rezerwacji ani linku do platformy rezerwacyjnej.",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 853 03 60,,http://www.poznanazs.pl/,,Nowy,Nieznany,,,,,,"Strona główna AZS Poznań nie zawiera informacji o systemie rezerwacji obiektu Boisko Przepadek. Dostępne są jedynie informacje o organizacji, aktualności sportowe i zdarzenia.",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 292 15 79,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 292 15 79,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 866 23 45,,https://arenapoznan.pl/,,Nowy,Nieznany,,,,,,"Strona Arena Poznań nie zawiera informacji o systemie rezerwacji. Hala jest w trakcie modernizacji, a na stronie brak sekcji dotyczącej rezerwacji boisk lub pomieszczeń.",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 877 23 29,,https://posir.poznan.pl/obiekty/mos/stadion-pilkarski-przy-ul-harcerskiej,,Nowy,Telefon,,,,,,"Rezerwacje prowadzone wyłącznie telefonicznie lub mailowo - kontakt: Młodzieżowy Ośrodek Sportowy, tel. 61 877 23 29, e-mail dostępny na stronie, godziny: pn-pt 7:30-15:00.",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 101 95 66,,http://osirmosina.pl/,,Nowy,Telefon,,,,,,"Rezerwacje przyjmowane telefonicznie: +48 61 813 29 03 lub +48 61 101 95 66. Strona zawiera informacje o wynajmie hal i pól sportowych, ale brak własnego systemu rezerwacji online.",
Boisko sportowe,,"Osiedle Piastowskie, 106a, Poznań",61-164,wielofunkcyjne,506 042 344,,https://www.posir.poznan.pl/obiekty/rataje/korty-tenisowe,,Nowy,Zewnętrzny,,,,,,"Rezerwacje można dokonywać mailowo, telefonicznie, przez aplikację Playmore oraz na stronie https://playmore.pl/reservation/87/courts; stałe rezerwacje sezonowe przyjmowane wyłącznie mailowo.",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 853 03 60,,http://www.poznanazs.pl/,,Nowy,Nieznany,,,,,,Strona główna AZS Poznań nie zawiera informacji o systemie rezerwacji dla boiska do piłki nożnej - brak szczegółów dotyczących procesu rezerwacji.,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 877 53 79,,http://www.csmarcelin.ataner.pl/,,Nowy,Własny system,,,,,,"Obiekt posiada własny system rezerwacji online dostępny na stronie www.csmarcelin.ataner.pl, gdzie uczestnicy logują się za pomocą numeru mieszkania/lokalu i hasła przypisanego do ich karty, a następnie rezerwują terminy z kalendarza Sali Gimnastycznej i Boiska Zewnętrznego.",
Boisko sportowe,,Poznań,,wielofunkcyjne,506 699 267,,http://www.arenadebiec.pl/,,Nowy,Nieznany,,,,,,"Strona zawiera informacje o możliwości rezerwacji boiska, ale nie dostarcza bezpośredniego linku do systemu rezerwacji. Kontakt możliwy przez telefon (+48 506 699 267, +48 508 670 310) lub e-mail (kontakt@arenadebiec.pl).",
Boisko sportowe,,Poznań,,wielofunkcyjne,,,http://www.osir.pobiedziska.pl/,,Nowy,Telefon,,,,,,"Rezerwacje odbywają się wyłącznie telefonicznie pod numerami podanymi dla poszczególnych obiektów (Hala Sportowa/siłownia/korty tenisowe: 798 514 013, Stadion Miejski/Orlik: 501 379 815) lub biuro w godz. 8:00-16:00: 513 270 075.",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 835 50 00,,http://awf.poznan.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,669 434 540,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,https://osirmosina.pl/index.php/boiska/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,https://osirmosina.pl/index.php/boiska/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,"Kazimierza Pułaskiego, 30, Poznań",60-607,wielofunkcyjne,61 853 03 60,,http://www.poznanazs.pl/,,Nowy,Nieznany,,,,,,Strona główna AZS Poznań nie zawiera informacji o systemie rezerwacji dla boiska do piłki nożnej - brak szczegółów dotyczących procesu rezerwacji.,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 646 01 62,,https://akwenczerwonak.pl/boiska-sportowe/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 835 50 00,,http://awf.poznan.pl/,,Nowy,Nieznany,,,,,,"Strona główna AWF Poznań - uczelnia akademicka. Brak informacji o systemie rezerwacji boisk sportowych. Widoczny link ""Wynajem obiektów"" w menu, ale bez dostępu do szczegółów rezerwacji.",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 812 14 04,,http://www.akwenczerwonak.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,453 674 294,,,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 292 14 85,,http://csszamotuly.pl/,,Nowy,Nieznany,,,,,,"Strona główna nie zawiera informacji o systemie rezerwacji; wymaga przeanalizowania podstron poświęconych ""Boiska piłkarskie"".",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 101 95 66,,http://osirmosina.pl/,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie pod numerem +48 61 101 95 66 lub +48 61 813 29 03; brak widocznego systemu online ani zewnętrznej platformy rezerwacyjnej.,
Boisko sportowe,,Poznań,,wielofunkcyjne,,,http://www.osirmosina.pl/,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie pod numerem +48 61 813 29 03 lub +48 61 101 95 66; brak online systemu rezerwacji na stronie.,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 833 05 11,,http://www.chwialka.poznan.pl/,,Nowy,E-mail,,,,,,"Rezerwacje boisk treningowych odbywają się przez e-mail (podany adres e-mail do rezerwacji), rezerwacje hal sportowych kierowane są do kierownika obiektu.",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 833 05 11,,http://www.chwialka.poznan.pl/,,Nowy,E-mail,,,,,,Rezerwacje boisk odbywają się drogą e-mail na adres podany na stronie oraz poprzez kontakt telefoniczny z kierownikiem obiektu.,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 877 53 79,,http://www.csmarcelin.ataner.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 877 53 79,,http://www.csmarcelin.ataner.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 877 53 79,,http://www.csmarcelin.ataner.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 876 60 11,,http://www.malta.poznan.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 646 01 62,,https://akwenczerwonak.pl/boiska-sportowe/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 830 09 99,,https://sport-beauty.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 830 09 99,,https://sport-beauty.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,609 499 560,,http://gostir-kostrzyn.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 285 23 74,,https://www.orlik2012.pl/index.php/znajdz-orlika/sroda-wielkopolska-ul-lipowa-9,,Nowy,Nieznany,,,,,,Strona domeny orlik2012.pl jest niedostępna - wyświetla tylko stronę rejestratora Aftermarket.pl. Nie można określić sposobu rezerwacji obiektu sportowego.,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 877 53 79,,http://www.csmarcelin.ataner.pl/,,Nowy,Własny system,,,,,,"Rezerwacje poprzez własny system online - zalogowanie za pomocą numeru lokalu/mieszkania i hasła, wybór obiektu (Sala Gimnastyczna lub Boisko Zewnętrzne) i kliknięcie wybranego terminu w kalendarzu.",
Boisko sportowe,,Poznań,,wielofunkcyjne,61 853 03 60,,http://www.poznanazs.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,721 785 903,,http://www.kkssportywalki.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 814 82 62,osrodekrataje@posir.poznan.pl,https://gosir.dopiewo.pl/,,Nowy,Nieznany,,,,,,"Strona GOSiR Dopiewo zawiera informacje o obiektach sportowych, ale nie zawiera jasnych informacji o systemie rezerwacji dla ""Boiska sportowego"". Brak widocznych linków do formularzy rezerwacji, zewnętrznych platform (Hally, Booksy) lub instrukcji dotyczących sposobu rezerwacji.",
Boisko sportowe,,Poznań,,wielofunkcyjne,,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 829 64 01,,http://swfis.amu.edu.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 840 68 72,,https://posir.poznan.pl/obiekty/golecin/boiska-pilkarskie,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,61 840 68 72,,http://golecin.poznan.pl/,,Nowy,Nieznany,,,,,,,
Boisko sportowe,,Poznań,,wielofunkcyjne,506 699 267,,http://www.arenadebiec.pl/,,Nowy,Nieznany,,,,,,"Na stronie pojawia się sekcja ""Rezerwacja"" z informacją o możliwości wynajęcia boiska w wybranym terminie, jednak brak konkretnego linku do systemu rezerwacji - możliwe rezerwacje poprzez kontakt telefoniczny lub e-mail.",
Boisko sportowe,,Poznań,,wielofunkcyjne,506 699 267,,http://www.arenadebiec.pl/,,Nowy,Nieznany,,,,,,"Na stronie pojawia się sekcja ""Rezerwacja"" z informacją o możliwości wynajęcia boiska w wybranym terminie, jednak brak konkretnego linku do systemu rezerwacji - możliwe rezerwacje poprzez kontakt telefoniczny lub e-mail.",
Boisko sportowe · beton,Świdlin,ul. Tenisowa,64-500,wielofunkcyjne,61 292 14 85,,http://csszamotuly.pl/,,Nowy,Nieznany,,,,,,"Strona główna nie zawiera informacji o systemie rezerwacji; wymaga przeanalizowania podstron poświęconych ""Boiska piłkarskie"".",
Boisko sportowe · mączka ceglana,,Poznań,,wielofunkcyjne,61 833 05 11,,http://www.chwialka.poznan.pl/,,Nowy,E-mail,,,,,,Rezerwacje boisk sportowych przyjmowane są mailowo na adres e-mail podany na stronie (rezerwacja torów basenowych i hal sportowych).,
Boisko sportowe · mączka ceglana,,Poznań,,wielofunkcyjne,61 835 50 00,,http://awf.poznan.pl/,,Nowy,E-mail,,,,,,Rezerwacje boisk treningowych odbywają się poprzez e-mail (adres e-mail dostępny w sekcji kontaktu obiektu Chwiałka).,
Boisko sportowe · tartan / asfalt,,Poznań,,wielofunkcyjne,61 877 53 79,,http://www.csmarcelin.ataner.pl/,,Nowy,Własny system,,,,,,"Rezerwacje poprzez własny system online - strona internetowa www.csmarcelin.ataner.pl oraz Kiosk (terminal) w Centrum Sportowym, dostęp poprzez login (nr lokalu/mieszkania) i hasło.",
Boisko sportowe · tartan / asfalt,,Poznań,,wielofunkcyjne,61 812 14 04,,http://www.akwenczerwonak.pl/,,Nowy,Nieznany,,,,,,,
Centrum Kultury Fizycznej. Uniwersytet Przyrodniczy w Poznaniu,,"Dojazd 7, 60-995 Poznań, Polska",,piłka nożna / futsal / siatkówka / siatkówka plażowa / piłka ręczna / inne,61 846 62 50,ckf@up.poznan.pl,https://sparrow.up.poznan.pl/ckf/,Uniwersytet Przyrodniczy w Poznaniu,Nowy,Zewnętrzny,,,,,,"Centrum Kultury Fizycznej przy Uniwersytecie Przyrodniczym w Poznaniu (ul. Dojazd 7) to wielofunkcyjny kompleks sportowy oferujący halę sportową dostosowaną do różnych dyscyplin (piłka nożna, futsal, siatkówka, koszykówka, piłka ręczna), korty tenisowe, siłownię, sale fitness i spinning, oraz boiska do siatkówki plażowej. Obiektem zarządza Uniwersytet Przyrodniczy. Rezerwacje boisk oraz siatkówki plażowej można dokonywać online poprzez system Bo5.pl. Kontakt: tel. +48-61-846-6250, e-mail: ckf@up.poznan.pl. Godziny otwarcia siłowni: pn-pt 17:00-21:30, sob-nd 10:00-21:30.",
Centrum Sportowe UM,,"Marcelińska, 25, Poznań",,wielofunkcyjne,61 844 52 10,studiumwfis@ump.edu.pl,https://swfis.ump.edu.pl/,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,Nowy,Telefon,,,,,,"Pod adresem ul. Marcelińskiej 25, 60-802 Poznań znajduje się Studium Wychowania Fizycznego i Sportu (Studium WFiS) Uniwersytetu Medycznego im. Karola Marcinkowskiego. Jest to jednostka akademicka należąca do UMP, prowadząca zajęcia z wychowania fizycznego i sportu dla studentów. Rezerwacje należy realizować telefonicznie lub mailowo bezpośrednio ze studium.",
Centrum Sportu i Rekreacji Stadion Średzki,,Poznań,,wielofunkcyjne,,,https://stadionsredzki.pl,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie pod numerem 61 285 25 20 lub e-mailem na biuro@polonia-sroda.pl. Na stronie nie znaleziono dedykowanego systemu rezerwacji online ani linku do zewnętrznej platformy.,
